Number,Gender,Background,Face color,Occasions,Eyes,Accs on face,Facial Expressions,Accs on head,Clothes,Little Accs
142,1,10,1,1,1,0,1,8,8,2
143,1,2,1,2,1,0,1,8,13,0
144,1,1,1,1,1,0,1,5,9,0
145,1,3,1,2,1,0,1,8,16,0
146,1,1,1,1,1,0,1,8,7,0
147,2,10,5,2,1,5,1,5,1,0
148,1,1,1,1,1,0,1,8,8,2
149,1,2,1,1,1,0,1,5,9,0
150,2,4,5,2,1,3,1,4,20,0
151,1,2,1,1,1,0,1,5,4,0
152,1,1,1,1,1,0,1,6,9,0
153,1,1,1,2,1,0,1,8,12,0
154,1,2,1,1,1,0,1,8,2,0
155,1,2,1,2,1,3,1,8,15,0
156,1,10,1,1,1,0,1,8,9,2
157,2,7,1,2,4,0,1,3,17,0
158,1,10,1,1,1,0,1,5,4,0
159,1,2,1,1,1,0,1,8,2,2
160,1,8,1,2,1,0,1,8,13,2
161,1,10,1,1,2,0,1,5,7,0
162,1,3,1,2,1,0,1,6,16,3
163,1,1,3,2,1,0,1,8,13,1
164,1,10,1,1,1,5,1,6,5,0
165,1,8,1,2,1,0,1,6,15,0
166,1,10,1,1,2,0,1,5,7,0
167,1,2,1,1,1,5,1,5,2,0
168,1,9,4,2,1,4,1,5,13,0
169,1,10,1,1,1,0,1,6,4,0
170,1,5,1,2,1,0,1,5,11,0
171,1,2,1,1,2,0,1,8,2,0
172,1,9,1,2,1,3,1,8,15,0
173,1,1,1,1,1,0,1,5,2,0
174,1,2,1,2,1,0,1,8,13,3
175,1,10,1,2,1,0,1,9,1,4
176,1,2,1,1,2,0,1,8,3,0
177,1,9,4,2,1,0,1,6,15,1
178,1,10,1,1,1,0,1,8,5,0
179,1,2,1,1,1,0,1,8,2,2
180,1,3,1,2,1,0,1,8,13,3
181,1,2,1,1,1,5,1,5,6,0
182,1,4,3,1,1,0,1,6,5,4
183,1,2,1,1,1,0,1,8,5,2
184,1,5,2,2,1,0,2,5,15,1
185,1,1,1,1,2,0,1,0,5,0
186,1,2,1,1,1,5,1,8,7,0
187,1,1,2,2,2,0,2,8,11,0
188,1,2,1,1,1,5,1,0,8,0
189,1,10,1,1,1,5,1,8,3,1
190,1,2,1,1,1,5,1,8,2,0
191,1,9,2,1,1,7,1,6,14,0
192,1,1,1,1,1,5,1,0,9,0
193,1,3,1,2,1,4,1,6,1,0
194,1,10,1,1,1,5,1,8,2,0
195,2,4,5,2,1,4,1,5,10,0
196,1,2,1,1,1,0,1,5,5,0
197,1,10,1,1,1,0,1,8,4,2
198,1,1,1,1,1,5,1,0,5,0
199,1,6,1,1,1,4,1,6,5,0
200,1,10,1,1,1,0,1,5,2,2
201,1,2,1,1,1,0,1,8,7,2
202,1,1,1,1,2,0,1,8,8,0
203,2,2,5,2,1,5,1,6,17,0
204,2,6,5,2,1,5,1,6,10,0
205,1,2,1,1,2,0,1,0,8,0
206,1,10,1,1,1,0,1,6,9,0
207,1,2,1,1,1,0,1,8,9,0
208,1,4,2,2,1,0,2,8,11,1
209,1,2,1,1,1,0,1,8,5,2
210,1,1,1,1,1,0,1,8,7,0
211,1,2,1,1,1,5,1,0,3,0
212,2,6,5,2,1,0,1,6,1,3
213,1,2,1,1,2,0,1,8,9,0
214,1,9,4,2,1,0,1,6,12,4
215,1,1,1,1,2,0,1,8,2,0
216,1,4,1,2,1,3,1,5,11,0
217,1,1,1,1,1,0,1,5,6,2
218,1,6,2,2,2,0,2,8,15,0
219,1,2,1,1,1,0,1,8,8,0
220,1,6,3,2,2,0,1,8,12,0
221,1,2,1,1,2,0,1,5,3,0
222,1,9,1,2,1,3,1,5,20,0
223,1,10,1,1,1,0,1,5,9,2
224,1,1,2,2,1,0,2,1,20,0
225,1,2,1,1,1,5,1,8,4,0
226,1,7,1,2,1,0,1,6,15,0
227,1,10,1,1,1,0,1,0,5,2
228,1,5,1,2,1,2,1,0,20,3
229,1,2,1,1,1,5,1,5,8,0
230,1,5,4,2,1,0,1,5,11,5
231,1,1,1,1,2,0,1,5,6,0
232,1,7,4,2,1,0,1,0,20,1
233,1,10,1,1,1,5,1,8,8,0
234,1,7,1,2,1,3,1,5,12,0
235,1,2,1,1,1,5,1,0,4,0
236,1,9,5,2,1,0,1,6,10,2
237,1,1,1,1,2,0,1,5,2,0
238,1,10,3,2,1,0,1,6,11,1
239,1,3,1,2,2,0,1,8,13,0
240,1,1,1,1,1,5,1,6,2,0
241,1,4,2,2,1,0,2,2,16,4
242,1,10,1,1,2,0,1,5,9,0
243,1,3,5,2,1,0,1,5,10,0
244,1,10,1,1,1,0,1,8,3,2
245,1,3,1,2,1,0,1,5,12,0
246,1,1,1,1,1,0,1,6,9,0
247,1,9,3,2,2,0,1,5,13,0
248,1,10,1,1,2,0,1,8,6,0
249,1,8,1,2,1,4,1,6,11,0
250,1,1,1,1,2,0,1,5,7,0
251,1,3,1,2,2,0,1,5,1,0
252,1,10,1,1,1,5,1,0,4,0
253,1,2,3,2,1,0,1,8,15,0
254,1,1,1,1,1,5,1,5,3,0
255,1,5,3,2,1,7,1,0,10,1
256,1,10,1,1,1,0,1,8,6,0
257,1,5,3,2,1,0,1,5,11,0
258,1,10,1,1,2,0,1,5,7,0
259,1,9,5,2,1,0,1,6,10,0
260,1,1,1,1,2,0,1,0,3,0
261,1,1,1,1,1,5,1,5,8,0
262,1,10,1,1,1,5,1,6,8,0
263,1,2,4,2,1,3,1,5,13,0
264,1,1,1,1,1,0,1,6,5,0
265,1,10,1,1,2,0,1,6,8,0
266,1,6,1,2,1,0,1,6,14,1
267,1,2,1,1,1,5,1,5,4,0
268,1,10,1,1,2,0,1,0,2,0
269,1,10,1,2,2,0,1,5,12,0
270,1,10,1,1,2,0,1,8,6,0
271,1,9,3,1,1,0,1,5,20,0
272,1,2,1,1,1,5,1,8,8,0
273,1,1,1,2,1,0,1,5,1,5
274,1,1,1,1,1,0,1,8,6,2
275,1,2,1,1,1,0,1,8,2,2
